file,nct,pmid,claimed_name,claimed_year,status,esummary_title,esummary_year,suggested_pmid,suggested_title,suggested_query,status_v3,reason
HIV_ART_TIMING_REVIEW.html,NCT00074581,27424812,HPTN 052 (Cohen 2011/2016),,WRONG_PMID,Antiretroviral Therapy for the Prevention of HIV-1 Transmission.,2016 Sep 1,30157702,,NCT00074581[si],WRONG_PMID,no candidate matches drug keywords
HIV_PREP_INJECTABLE_REVIEW.html,NCT03164564,35594553,HPTN 084,,WRONG_PMID,Effect of Antiviral Treatment on Hepatitis B Virus Integration and Hepatocyte Clonal Expansion.,2023 Feb 8,39311597,,NCT03164564[si],WRONG_PMID,no candidate matches drug keywords
HIV_PREP_INJECTABLE_REVIEW.html,NCT02842086,32896293,DISCOVER (F/TAF vs F/TDF),,WRONG_PMID,Azithromycin for severe COVID-19.,2020 Oct 3,39008999,"HIV-1 infection kinetics, drug resistance, and long-term safety of pre-exposure prophylaxis with emtricitabine plus tenofovir alafenamide (DISCOVER): week 144 open-label extension of a randomised, controlled, phase 3 trial.",NCT02842086[si],WRONG_PMID,no candidate matches drug keywords
HIV_TB_COINFECTION_ART_TIMING_REVIEW.html,NCT00091936,21345101,SAPiT (Karim 2010+2011),,WRONG_PMID,Association between body-mass index and risk of death in more than 1 million Asians.,2011 Feb 24,22108776,The influence of tuberculosis treatment on efavirenz clearance in patients co-infected with HIV and tuberculosis.,NCT00091936[si],WRONG_PMID,no candidate matches drug keywords
HPV_DOSE_REDUCTION_REVIEW.html,NCT02834637,36410354,DoRIS 1d-vs-3d bivalent,,WRONG_PMID,"Breast Cancer Screening Modalities, Recommendations, and Novel Imaging Techniques.",2023 Feb,41419735,Immunogenicity of one and two doses of Gardasil®9 in Tanzanian girls in the DoRIS Trial.,NCT02834637[si],WRONG_PMID,no candidate matches drug keywords
HPV_VACCINE_SCHEDULES_REVIEW.html,NCT03675256,36475220,KEN SHE single-dose (Barnabas 2022),,WRONG_PMID,Dilated Cardiomyopathy in Children: Early Detection and Treatment.,2022 Nov,38049621,Durability of single-dose HPV vaccination in young Kenyan women: randomized controlled trial 3-year results.,NCT03675256[si],WRONG_PMID,no candidate matches drug keywords
HYDROCORTISONE_SEPTIC_SHOCK_REVIEW.html,NCT00670254,27695822,HYPRESS (Keh 2016),,WRONG_PMID,Alternative Strategies to Inpatient Hospitalization for Acute Medical Conditions: A Systematic Review.,2016 Nov 1,36345013,Corticotropin-stimulated steroid profiles to predict shock development and mortality in sepsis: From the HYPRESS study.,NCT00670254[si],WRONG_PMID,no candidate matches drug keywords
ICU_SEDATION_REVIEW.html,NCT01728558,30815110,SPICE-III (Shehabi 2019),,WRONG_PMID,A systematic comparison of contemporary automatic speech recognition engines for conversational clinical speech.,2018,36215171,Dexmedetomidine and Propofol Sedation in Critically Ill Patients and Dose-associated 90-Day Mortality: A Secondary Cohort Analysis of a Randomized Controlled Trial (SPICE III).,NCT01728558[si],WRONG_PMID,no candidate matches drug keywords
IPTACOPAN_IGAN_REVIEW.html,NCT04578834,39259640,APPLAUSE-IgAN,,WRONG_PMID,Effects of Individual Research Practices on fNIRS Signal Quality and Latent Characteristics.,2024,41910396,Iptacopan in IgA Nephropathy - Final 24-Month Data.,NCT04578834[si],WRONG_PMID,no candidate matches drug keywords
KRAS_G12C_REVIEW.html,NCT04685135,38937977,KRYSTAL-12,,WRONG_PMID,Clinicogenomic predictors of outcomes in patients with hepatocellular carcinoma treated with immunotherapy.,2024 Oct 3,40783289,"Adagrasib versus docetaxel in KRAS(G12C)-mutated non-small-cell lung cancer (KRYSTAL-12): a randomised, open-label, phase 3 trial.",NCT04685135[si],WRONG_PMID,no candidate matches drug keywords
LIPID_HUB_REVIEW.html,NCT01492361,30415628,REDUCE-IT,,WRONG_PMID,Cardiovascular Risk Reduction with Icosapent Ethyl for Hypertriglyceridemia.,2019 Jan 3,42006413,Cardiovascular outcomes with icosapent ethyl by burden of standard modifiable cardiovascular risk factors in REDUCE-IT.,REDUCE-IT[ti],WRONG_PMID,no candidate matches drug keywords
LIPID_HUB_REVIEW.html,NCT01841944,33191772,OMEMI,,WRONG_PMID,"Effects of n-3 Fatty Acid Supplements in Elderly Patients After Myocardial Infarction: A Randomized, Controlled Trial.",2021 Feb 9,34742136,One year of omega 3 polyunsaturated fatty acid supplementation does not reduce circulating prothrombotic microvesicles in elderly subjects after suffering a myocardial infarction.,NCT01841944[si],WRONG_PMID,no candidate matches drug keywords
LIPID_HUB_REVIEW.html,NCT02944682,36214599,RESPECT-EPA,,WRONG_PMID,Liquefied Petroleum Gas or Biomass for Cooking and Effects on Birth Weight.,2022 Nov 10,41474812,,NCT02944682[si],WRONG_PMID,no candidate matches drug keywords
MALARIA_VACCINES_REVIEW.html,NCT04704830,38346856,R21 Phase 3,,WRONG_PMID,Statement of Retraction: Liver X Receptors Activation Attenuates Ischemia Reperfusion Injury of Liver Graft in Rats.,2024 Dec,38310910,"Safety and efficacy of malaria vaccine candidate R21/Matrix-M in African children: a multicentre, double-blind, randomised, phase 3 trial.",NCT04704830[si],WRONG_PMID,no candidate matches drug keywords
MDR_TB_SHORTENED_REVIEW.html,NCT03086486,36167739,ZeNix (BPaL dose-finding),,WRONG_PMID,"Corrigendum to ""D-578, an orally active triple monoamine reuptake inhibitor, displays antidepressant and anti-PTSD like effects in rats"" [Eur. J. Pharmacol. 862 (2019) 172632].",2022 Oct 15,36053506,Bedaquiline-Pretomanid-Linezolid Regimens for Drug-Resistant Tuberculosis.,NCT03086486[si],WRONG_PMID,no candidate matches drug keywords
MDRTB_BPAL_REVIEW.html,NCT02333799,32130813,Nix-TB,,WRONG_PMID,Treatment of Highly Drug-Resistant Pulmonary Tuberculosis.,2020 Mar 5,36804834,Analysis of Dynamic Efficacy Endpoints of the Nix-TB Trial.,NCT02333799[si],WRONG_PMID,low confidence (score=1)
MDRTB_BPAL_REVIEW.html,NCT03086486,36099496,ZeNix,,WRONG_PMID,Prophylaxis of Post-Endoscopic Retrograde Cholangiopancreatography Pancreatitis Using Temporary Pancreatic Stents Versus Rectal Nonsteroidal Anti-inflammatory Drugs: A Randomized Controlled Trial.,2022 Jul 1,36053506,,NCT03086486[si],WRONG_PMID,no candidate matches drug keywords
MEDITERRANEAN_DIET_CV_REVIEW.html,NCT00924937,35525596,CORDIOPREV (Delgado-Lista 2022),,WRONG_PMID,Target-triggered cascade signal amplification for sensitive electrochemical detection of SARS-CoV-2 with clinical application.,2022 May 22,41611577,Incidence of major adverse cardiovascular events decreases with greater adherence to both Mediterranean and low-fat dietary patterns in secondary prevention patients: a randomized controlled trial.,NCT00924937[si],WRONG_PMID,no candidate matches drug keywords
MEDITERRANEAN_DIET_CV_REVIEW.html,LEGACY-ISRCTN-89898870-PREDIMEDPLUS,38924767,PREDIMED-Plus (Salas-Salvado 2024),,WRONG_PMID,Accidental uterine extensions in cesarean deliveries - outcome of subsequent pregnancy.,2024 Sep 25,,,,WRONG_PMID,no esearch hits
MIGRAINE_ACUTE_REVIEW.html,NCT03872453,30699266,Rimegepant Study 303,,WRONG_PMID,[Elimination of cervical cancer in Latin America].,2018 Nov-Dic,,,,WRONG_PMID,no esearch hits
PEDIATRIC_HIV_ART_REVIEW.html,LEGACY-ISRCTN-69078957-CHAPAS-3,26718098,CHAPAS-3 (NRTI backbone in paeds),,WRONG_PMID,Peripheral lymphocyte subsets in chronic hepatitis C: Effects of 12 weeks of antiviral treatment with interferon-alpha plus ribavirin.,2016 Feb,39627164,Determining Targets for Antiretroviral Drug Concentrations: A Causal Framework Illustrated With Pediatric Efavirenz Data From the CHAPAS-3 Trial.,CHAPAS-3[ti],WRONG_PMID,no esearch hits
PEDIATRIC_HIV_ART_REVIEW.html,LEGACY-ISRCTN-24791884-ARROW,23541054,ARROW (clinical vs lab monitoring),,WRONG_PMID,Health law and policy in the European Union.,2013 Mar 30,41934748,Solid phase micro extraction arrow optimization for the screening of volatiles compounds in recycled plastics in GC/MS.,ARROW[ti],WRONG_PMID,no esearch hits
POLYCYTHEMIA_VERA_REVIEW.html,NCT01949805,31816374,PROUD-PV (Gisslinger 2020),,WRONG_PMID,Fabrication of chitosan/agarose scaffolds containing extracellular matrix for tissue engineering applications.,2020 Jan 15,30287855,Ropeginterferon alpha-2b targets JAK2V617F-positive polycythemia vera cells in vitro and in vivo.,NCT01949805[si],WRONG_PMID,no candidate matches drug keywords
POSTPARTUM_HEMORRHAGE_REVIEW.html,NCT04341662,37224076,E-MOTIVE (PPH bundle),,WRONG_PMID,Establishing the Australian National Endometriosis Clinical and Scientific Trials (NECST) Registry: A protocol paper.,2023 May 1,38844798,A cost-effectiveness analysis of early detection and bundled treatment of postpartum hemorrhage alongside the E-MOTIVE trial.,NCT04341662[si],WRONG_PMID,no candidate matches drug keywords
PPH_BUNDLE_REVIEW.html,NCT04341662,37158612,E-MOTIVE,,WRONG_PMID,Clear aligner therapy in children: case reports of phase I treatment.,2023 Feb,38844798,A cost-effectiveness analysis of early detection and bundled treatment of postpartum hemorrhage alongside the E-MOTIVE trial.,NCT04341662[si],WRONG_PMID,no candidate matches drug keywords
ROTAVIRUS_VACCINE_AFRICA_REVIEW.html,NCT02145000,28327203,Rotasiil ROSE Niger (Isanaka 2017),,WRONG_PMID,An appraisal of analytical tools used in predicting clinical outcomes following radiation therapy treatment of men with prostate cancer: a systematic review.,2017 Mar 21,35500028,Evaluation of multiple micronutrient supplementation and medium-quantity lipid-based nutrient supplementation in pregnancy on child development in rural Niger: A secondary analysis of a cluster randomized controlled trial.,NCT02145000[si],WRONG_PMID,no candidate matches drug keywords
RUSFERTIDE_PV_REVIEW.html,NCT05210790,39530341,VERIFY,,WRONG_PMID,Experimental investigation of circumnutation-inspired penetration in sand.,2024 Nov 12,42062206,"Verify, Then Trust: Using Artificial Intelligence in Publication of Research.",VERIFY[ti],WRONG_PMID,no esearch hits
SEVERE_PEDIATRIC_FEBRILE_AFRICA_REVIEW.html,LEGACY-ISRCTN-84086586-TRACT,31314969,TRACT (transfusion threshold anaemic),,WRONG_PMID,"Health Care Spending, Utilization, and Quality 8 Years into Global Payment.",2019 Jul 18,42084780,"Pyomyositis, a rare complication of a urinary tract infection on FDG PET/CT.",TRACT[ti],WRONG_PMID,no esearch hits
TARLATAMAB_SCLC_REVIEW.html,NCT05060016,37861213,DeLLphi-301,,WRONG_PMID,Blunt abdominal trauma: watch and wait.,2023 Dec 1,40908346,Asian Subgroup Analysis of Patients in the Phase 2 DeLLphi-301 Study of Tarlatamab for Previously Treated Small Cell Lung Cancer.,NCT05060016[si],WRONG_PMID,low confidence (score=1)
TAVR_LOWRISK_REVIEW.html,NCT02675114,30883058,PARTNER 3,,WRONG_PMID,Transcatheter Aortic-Valve Replacement with a Balloon-Expandable Valve in Low-Risk Patients.,2019 May 2,41144631,Transcatheter or Surgical Aortic-Valve Replacement in Low-Risk Patients at 7 Years.,NCT02675114[si],WRONG_PMID,no candidate matches drug keywords
TB_DRUG_SUSCEPTIBLE_4MO_REVIEW.html,NCT02410772,33951360,Study 31 / A5349 (4-month rifapentine-moxifloxacin),,OK,Four-Month Rifapentine Regimens with or without Moxifloxacin for Tuberculosis.,2021 May 6,,,,WRONG_PMID,no candidate matches drug keywords
VITILIGO_REVIEW.html,NCT04927975,38744278,UpA-Vitiligo Phase 2/3 (Passeron 2024),,WRONG_PMID,Targeting the HSP47-collagen axis inhibits brain metastasis by reversing M2 microglial polarization and restoring anti-tumor immunity.,2024 May 21,39475960,Psychometric Properties and Meaningful Change Thresholds of the Vitiligo Area Scoring Index.,NCT04927975[si],WRONG_PMID,no candidate matches drug keywords
